AREA NAME,AREA CODE,District Name,District,LEAD FINANCE NBR,ZIP CODE,ZIP CLASS CODE,LOCALE NAME,LOCALE KEY,LOCALE TYPE,PHYSICAL DELV ADDR,PHYSICAL CITY,PHYSICAL STATE,PHYSICAL ZIP,PHYSICAL ZIP 4
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09277,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09278,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09279,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09280,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09281,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09282,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09283,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09284,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09285,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09287,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09288,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09289,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09290,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09291,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09292,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09293,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09294,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09295,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09296,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09297,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09298,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09299,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600002,09301,M,DPO,P017332,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09303,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09305,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09306,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09307,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
OVERSEAS,4M,MILITARY POSTAL SERVSHANNON KELLY,090,600001,09309,M,APO,PV10001,P,80 COUNTY RD,JERSEY CITY,NJ,07097,9997
